"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","some college","standard","none","81","81","71"
"female","group A","bachelor's degree","standard","completed","64","83","79"
"female","group A","some high school","standard","none","53","56","52"
"male","group D","bachelor's degree","standard","completed","82","80","82"
"female","group D","some college","free/reduced","none","57","70","69"
"male","group C","high school","standard","completed","79","77","75"
"male","group C","bachelor's degree","standard","completed","62","68","60"
"male","group B","some high school","free/reduced","none","64","72","68"
"female","group D","some college","free/reduced","none","52","56","64"
"male","group D","associate's degree","standard","none","76","70","63"
"male","group C","some college","standard","none","68","67","69"
"male","group D","some high school","free/reduced","completed","33","37","42"
"female","group C","high school","standard","completed","63","76","73"
"male","group C","associate's degree","standard","none","83","71","68"
"male","group E","some high school","standard","none","84","68","62"
"female","group D","bachelor's degree","standard","none","51","69","59"
"male","group C","some college","standard","completed","59","60","63"
"female","group C","associate's degree","free/reduced","completed","38","43","44"
"male","group C","high school","standard","none","59","53","52"
"female","group C","associate's degree","free/reduced","none","52","65","60"
"female","group E","associate's degree","free/reduced","none","67","72","67"
"female","group B","some college","free/reduced","none","50","60","58"
"female","group B","some high school","free/reduced","completed","45","69","64"
"female","group C","bachelor's degree","free/reduced","completed","75","86","88"
"male","group C","associate's degree","standard","none","95","82","79"
"male","group D","master's degree","free/reduced","none","43","49","45"
"male","group B","associate's degree","standard","completed","73","67","62"
"male","group B","high school","standard","none","58","48","44"
"male","group B","some college","free/reduced","completed","50","40","40"
"female","group C","associate's degree","standard","none","61","73","69"
"female","group D","some college","standard","none","74","80","82"
"male","group B","high school","standard","none","55","40","43"
"male","group C","some high school","standard","none","56","56","46"
"male","group D","bachelor's degree","standard","completed","49","41","45"
"male","group C","bachelor's degree","standard","completed","90","90","85"
"male","group D","associate's degree","standard","none","86","82","83"
"female","group C","associate's degree","standard","completed","83","89","87"
"male","group B","master's degree","standard","none","60","55","55"
"female","group D","high school","standard","none","83","78","80"
"male","group C","associate's degree","free/reduced","completed","39","44","35"
"male","group B","some college","standard","none","69","59","58"
"female","group E","associate's degree","standard","none","67","73","70"
"female","group B","high school","standard","none","64","72","67"
"female","group C","some college","free/reduced","none","55","65","67"
"female","group C","some college","standard","completed","65","69","75"
"female","group B","high school","standard","none","54","57","53"
"male","group C","some college","standard","completed","72","57","61"
"male","group D","high school","free/reduced","none","42","42","42"
"female","group A","some college","standard","completed","67","70","73"
"male","group B","high school","free/reduced","none","38","41","37"
"female","group C","associate's degree","standard","completed","60","64","62"
"male","group D","master's degree","free/reduced","completed","79","90","95"
"female","group B","some college","free/reduced","none","49","69","63"
"male","group C","associate's degree","standard","none","58","49","48"
"female","group D","bachelor's degree","free/reduced","none","60","70","74"
"male","group A","some high school","standard","completed","59","55","54"
"male","group B","associate's degree","standard","none","54","48","47"
"female","group C","associate's degree","standard","none","54","64","61"
"male","group C","associate's degree","free/reduced","completed","67","69","69"
"female","group D","some high school","free/reduced","none","50","60","50"
"male","group B","high school","standard","none","90","79","81"
"male","group E","associate's degree","standard","none","81","75","68"
"female","group C","high school","free/reduced","none","60","85","75"
"female","group E","some high school","free/reduced","none","78","83","80"
"female","group C","high school","free/reduced","none","76","90","78"
"female","group D","high school","standard","none","60","68","65"
"female","group C","high school","standard","none","46","48","43"
"male","group A","some high school","standard","completed","73","75","71"
"female","group C","associate's degree","standard","none","57","64","59"
"female","group B","high school","free/reduced","none","42","61","63"
"male","group C","bachelor's degree","standard","none","64","55","51"
"male","group D","high school","free/reduced","none","46","47","43"
"male","group D","some high school","free/reduced","none","51","52","48"
"female","group C","some high school","standard","completed","65","75","76"
"female","group C","some high school","free/reduced","none","59","79","73"
"male","group C","high school","standard","none","67","57","52"
"male","group D","master's degree","free/reduced","completed","74","73","72"
"male","group B","some high school","standard","none","46","35","34"
"female","group B","master's degree","free/reduced","none","46","63","63"
"male","group C","some high school","standard","none","43","44","41"
"female","group B","master's degree","free/reduced","completed","58","71","74"
"female","group D","bachelor's degree","free/reduced","none","54","71","68"
"female","group E","bachelor's degree","free/reduced","none","64","60","62"
"female","group A","associate's degree","standard","none","82","86","81"
"female","group B","some college","free/reduced","completed","54","56","61"
"male","group A","master's degree","standard","completed","94","95","98"
"male","group C","some high school","standard","none","33","23","24"
"male","group C","associate's degree","standard","none","55","60","54"
"female","group C","master's degree","standard","none","85","92","94"
"female","group D","some high school","standard","completed","57","71","75"
"male","group B","associate's degree","standard","completed","88","88","85"
"male","group C","high school","standard","none","40","42","33"
"female","group D","some high school","standard","none","72","85","88"
"male","group D","some high school","free/reduced","none","47","48","46"
"female","group C","high school","standard","none","57","68","55"
"male","group D","some college","standard","none","79","75","72"
"female","group A","high school","standard","none","35","49","47"
"female","group C","associate's degree","standard","completed","65","82","75"
"female","group D","some high school","standard","none","82","98","97"
"male","group C","high school","standard","none","76","76","69"
